transaction_id,trade_date,customer_id,account_id,security_id,amount,currency,country
TXN000000,2026-07-20,CUST5283,ACC539723,XX2811626663,44193.68,USD,EC
TXN000001,2026-07-18,CUST5866,ACC904534,XX8194887083,26168.59,GBP,CF
TXN000002,2026-08-10,CUST3539,ACC288283,XX5338783342,38022.57,USD,NG
TXN000003,2026-07-23,CUST3699,ACC216421,XX3061008196,14535.76,USD,IE
TXN000004,2026-08-02,CUST5814,ACC354699,XX3162206079,43000.67,USD,BB
TXN000005,2026-07-17,CUST4044,ACC448223,XX7510426587,31426.76,USD,TD
TXN000006,2026-07-31,CUST3810,ACC528912,XX1490221464,8466.75,USD,DK
TXN000007,2026-07-15,CUST5655,ACC550053,XX6924454210,26594.3,GBP,MR
TXN000008,2026-07-18,CUST5447,ACC386049,XX2995029757,11074.59,EUR,EG
TXN000009,2026-07-14,CUST7808,ACC587671,XX8931981778,15231.17,USD,CD
TXN000010,2026-08-01,CUST8862,ACC190342,XX3068987263,39019.02,GBP,IE
TXN000011,2026-07-13,CUST8762,ACC141122,XX5186985016,47926.69,GBP,MX
TXN000012,2026-07-23,CUST8302,ACC248459,XX6854989368,34653.31,GBP,CN
TXN000013,2026-07-20,CUST4555,ACC190945,XX9678152465,22921.86,GBP,OM
TXN000014,2026-07-13,CUST9995,ACC683690,XX4183350137,29166.32,GBP,MZ
TXN000015,2026-08-06,CUST7995,ACC341695,XX7203505306,21543.92,EUR,VC
TXN000016,2026-08-05,CUST8187,ACC879445,XX7914242595,25681.78,USD,LV
TXN000017,2026-08-03,CUST2179,ACC319850,XX7142877447,22072.11,USD,KW
TXN000018,2026-08-11,CUST4796,ACC932120,XX8547276577,13734.85,USD,SC
TXN000019,2026-07-14,CUST1021,ACC670228,XX6543735399,43177.51,EUR,LY
TXN000020,2026-07-17,CUST1160,ACC752481,XX6051982413,30290.71,GBP,MD
TXN000021,2026-07-20,CUST4586,ACC221442,XX1792454908,31422.39,GBP,TT
TXN000022,2026-07-13,CUST3270,ACC397107,XX4094483727,29005.74,EUR,TT
